id,text,toxicity_level,created_at
1,Thank you for your help.,none,2023-01-01 00:00:00
2,I hope you're doing well.,none,2023-01-01 00:01:00
3,Nice to meet you.,none,2023-01-01 00:02:00
4,That sounds like a good idea.,none,2023-01-01 00:03:00
5,That sounds like a good idea.,none,2023-01-01 00:04:00
6,Have a great day!,none,2023-01-01 00:05:00
7,Thank you for your help.,none,2023-01-01 00:06:00
8,Nice to meet you.,none,2023-01-01 00:07:00
9,Thank you for your help.,none,2023-01-01 00:08:00
10,Have a great day!,none,2023-01-01 00:09:00
11,Thank you for your help.,none,2023-01-01 00:10:00
12,That sounds like a good idea.,none,2023-01-01 00:11:00
13,I hope you're doing well.,none,2023-01-01 00:12:00
14,Thank you for your help.,none,2023-01-01 00:13:00
15,Nice to meet you.,none,2023-01-01 00:14:00
16,Nice to meet you.,none,2023-01-01 00:15:00
17,That sounds like a good idea.,none,2023-01-01 00:16:00
18,I hope you're doing well.,none,2023-01-01 00:17:00
19,That sounds like a good idea.,none,2023-01-01 00:18:00
20,Thank you for your help.,none,2023-01-01 00:19:00
21,Thank you for your help.,none,2023-01-01 00:20:00
22,That sounds like a good idea.,none,2023-01-01 00:21:00
23,Nice to meet you.,none,2023-01-01 00:22:00
24,Thank you for your help.,none,2023-01-01 00:23:00
25,Have a great day!,none,2023-01-01 00:24:00
26,Nice to meet you.,none,2023-01-01 00:25:00
27,I hope you're doing well.,none,2023-01-01 00:26:00
28,Nice to meet you.,none,2023-01-01 00:27:00
29,Nice to meet you.,none,2023-01-01 00:28:00
30,I hope you're doing well.,none,2023-01-01 00:29:00
31,That sounds like a good idea.,none,2023-01-01 00:30:00
32,That sounds like a good idea.,none,2023-01-01 00:31:00
33,Have a great day!,none,2023-01-01 00:32:00
34,Have a great day!,none,2023-01-01 00:33:00
35,Nice to meet you.,none,2023-01-01 00:34:00
36,That sounds like a good idea.,none,2023-01-01 00:35:00
37,That sounds like a good idea.,none,2023-01-01 00:36:00
38,Thank you for your help.,none,2023-01-01 00:37:00
39,Have a great day!,none,2023-01-01 00:38:00
40,Nice to meet you.,none,2023-01-01 00:39:00
41,I hope you're doing well.,none,2023-01-01 00:40:00
42,That sounds like a good idea.,none,2023-01-01 00:41:00
43,Have a great day!,none,2023-01-01 00:42:00
44,Thank you for your help.,none,2023-01-01 00:43:00
45,Nice to meet you.,none,2023-01-01 00:44:00
46,Have a great day!,none,2023-01-01 00:45:00
47,I hope you're doing well.,none,2023-01-01 00:46:00
48,Nice to meet you.,none,2023-01-01 00:47:00
49,Nice to meet you.,none,2023-01-01 00:48:00
50,I hope you're doing well.,none,2023-01-01 00:49:00
51,Nice to meet you.,none,2023-01-01 00:50:00
52,Thank you for your help.,none,2023-01-01 00:51:00
53,Have a great day!,none,2023-01-01 00:52:00
54,I hope you're doing well.,none,2023-01-01 00:53:00
55,That sounds like a good idea.,none,2023-01-01 00:54:00
56,Have a great day!,none,2023-01-01 00:55:00
57,Have a great day!,none,2023-01-01 00:56:00
58,Nice to meet you.,none,2023-01-01 00:57:00
59,I hope you're doing well.,none,2023-01-01 00:58:00
60,I hope you're doing well.,none,2023-01-01 00:59:00
61,That sounds like a good idea.,none,2023-01-01 01:00:00
62,Thank you for your help.,none,2023-01-01 01:01:00
63,That sounds like a good idea.,none,2023-01-01 01:02:00
64,Have a great day!,none,2023-01-01 01:03:00
65,I hope you're doing well.,none,2023-01-01 01:04:00
66,That sounds like a good idea.,none,2023-01-01 01:05:00
67,Have a great day!,none,2023-01-01 01:06:00
68,Have a great day!,none,2023-01-01 01:07:00
69,Have a great day!,none,2023-01-01 01:08:00
70,That sounds like a good idea.,none,2023-01-01 01:09:00
71,That sounds like a good idea.,none,2023-01-01 01:10:00
72,I hope you're doing well.,none,2023-01-01 01:11:00
73,Have a great day!,none,2023-01-01 01:12:00
74,I hope you're doing well.,none,2023-01-01 01:13:00
75,Nice to meet you.,none,2023-01-01 01:14:00
76,That sounds like a good idea.,none,2023-01-01 01:15:00
77,That sounds like a good idea.,none,2023-01-01 01:16:00
78,Have a great day!,none,2023-01-01 01:17:00
79,Thank you for your help.,none,2023-01-01 01:18:00
80,Nice to meet you.,none,2023-01-01 01:19:00
81,Nice to meet you.,none,2023-01-01 01:20:00
82,Nice to meet you.,none,2023-01-01 01:21:00
83,I hope you're doing well.,none,2023-01-01 01:22:00
84,Have a great day!,none,2023-01-01 01:23:00
85,That sounds like a good idea.,none,2023-01-01 01:24:00
86,I hope you're doing well.,none,2023-01-01 01:25:00
87,I hope you're doing well.,none,2023-01-01 01:26:00
88,Have a great day!,none,2023-01-01 01:27:00
89,Thank you for your help.,none,2023-01-01 01:28:00
90,That sounds like a good idea.,none,2023-01-01 01:29:00
91,Have a great day!,none,2023-01-01 01:30:00
92,I hope you're doing well.,none,2023-01-01 01:31:00
93,Nice to meet you.,none,2023-01-01 01:32:00
94,Have a great day!,none,2023-01-01 01:33:00
95,Have a great day!,none,2023-01-01 01:34:00
96,Thank you for your help.,none,2023-01-01 01:35:00
97,Thank you for your help.,none,2023-01-01 01:36:00
98,That sounds like a good idea.,none,2023-01-01 01:37:00
99,Thank you for your help.,none,2023-01-01 01:38:00
100,I hope you're doing well.,none,2023-01-01 01:39:00
101,Nice to meet you.,none,2023-01-01 01:40:00
102,I hope you're doing well.,none,2023-01-01 01:41:00
103,Have a great day!,none,2023-01-01 01:42:00
104,I hope you're doing well.,none,2023-01-01 01:43:00
105,Have a great day!,none,2023-01-01 01:44:00
106,I hope you're doing well.,none,2023-01-01 01:45:00
107,Have a great day!,none,2023-01-01 01:46:00
108,Have a great day!,none,2023-01-01 01:47:00
109,Nice to meet you.,none,2023-01-01 01:48:00
110,I hope you're doing well.,none,2023-01-01 01:49:00
111,Have a great day!,none,2023-01-01 01:50:00
112,Thank you for your help.,none,2023-01-01 01:51:00
113,I hope you're doing well.,none,2023-01-01 01:52:00
114,Nice to meet you.,none,2023-01-01 01:53:00
115,That sounds like a good idea.,none,2023-01-01 01:54:00
116,I hope you're doing well.,none,2023-01-01 01:55:00
117,I hope you're doing well.,none,2023-01-01 01:56:00
118,That sounds like a good idea.,none,2023-01-01 01:57:00
119,Have a great day!,none,2023-01-01 01:58:00
120,I hope you're doing well.,none,2023-01-01 01:59:00
121,I hope you're doing well.,none,2023-01-01 02:00:00
122,Nice to meet you.,none,2023-01-01 02:01:00
123,Thank you for your help.,none,2023-01-01 02:02:00
124,I hope you're doing well.,none,2023-01-01 02:03:00
125,I hope you're doing well.,none,2023-01-01 02:04:00
126,Nice to meet you.,none,2023-01-01 02:05:00
127,Nice to meet you.,none,2023-01-01 02:06:00
128,Thank you for your help.,none,2023-01-01 02:07:00
129,That sounds like a good idea.,none,2023-01-01 02:08:00
130,That sounds like a good idea.,none,2023-01-01 02:09:00
131,Have a great day!,none,2023-01-01 02:10:00
132,I hope you're doing well.,none,2023-01-01 02:11:00
133,Thank you for your help.,none,2023-01-01 02:12:00
134,Nice to meet you.,none,2023-01-01 02:13:00
135,I hope you're doing well.,none,2023-01-01 02:14:00
136,Thank you for your help.,none,2023-01-01 02:15:00
137,I hope you're doing well.,none,2023-01-01 02:16:00
138,Have a great day!,none,2023-01-01 02:17:00
139,Nice to meet you.,none,2023-01-01 02:18:00
140,Nice to meet you.,none,2023-01-01 02:19:00
141,Thank you for your help.,none,2023-01-01 02:20:00
142,I hope you're doing well.,none,2023-01-01 02:21:00
143,I hope you're doing well.,none,2023-01-01 02:22:00
144,Thank you for your help.,none,2023-01-01 02:23:00
145,Have a great day!,none,2023-01-01 02:24:00
146,Thank you for your help.,none,2023-01-01 02:25:00
147,Nice to meet you.,none,2023-01-01 02:26:00
148,Nice to meet you.,none,2023-01-01 02:27:00
149,That sounds like a good idea.,none,2023-01-01 02:28:00
150,Nice to meet you.,none,2023-01-01 02:29:00
151,Nice to meet you.,none,2023-01-01 02:30:00
152,Thank you for your help.,none,2023-01-01 02:31:00
153,Nice to meet you.,none,2023-01-01 02:32:00
154,Thank you for your help.,none,2023-01-01 02:33:00
155,Nice to meet you.,none,2023-01-01 02:34:00
156,Have a great day!,none,2023-01-01 02:35:00
157,Have a great day!,none,2023-01-01 02:36:00
158,That sounds like a good idea.,none,2023-01-01 02:37:00
159,Nice to meet you.,none,2023-01-01 02:38:00
160,I hope you're doing well.,none,2023-01-01 02:39:00
161,Nice to meet you.,none,2023-01-01 02:40:00
162,Thank you for your help.,none,2023-01-01 02:41:00
163,Thank you for your help.,none,2023-01-01 02:42:00
164,I hope you're doing well.,none,2023-01-01 02:43:00
165,That sounds like a good idea.,none,2023-01-01 02:44:00
166,Have a great day!,none,2023-01-01 02:45:00
167,Nice to meet you.,none,2023-01-01 02:46:00
168,That sounds like a good idea.,none,2023-01-01 02:47:00
169,I hope you're doing well.,none,2023-01-01 02:48:00
170,That sounds like a good idea.,none,2023-01-01 02:49:00
171,Nice to meet you.,none,2023-01-01 02:50:00
172,Have a great day!,none,2023-01-01 02:51:00
173,Thank you for your help.,none,2023-01-01 02:52:00
174,That sounds like a good idea.,none,2023-01-01 02:53:00
175,I hope you're doing well.,none,2023-01-01 02:54:00
176,I hope you're doing well.,none,2023-01-01 02:55:00
177,I hope you're doing well.,none,2023-01-01 02:56:00
178,Thank you for your help.,none,2023-01-01 02:57:00
179,I hope you're doing well.,none,2023-01-01 02:58:00
180,Have a great day!,none,2023-01-01 02:59:00
181,I hope you're doing well.,none,2023-01-01 03:00:00
182,Thank you for your help.,none,2023-01-01 03:01:00
183,Nice to meet you.,none,2023-01-01 03:02:00
184,I hope you're doing well.,none,2023-01-01 03:03:00
185,Nice to meet you.,none,2023-01-01 03:04:00
186,That sounds like a good idea.,none,2023-01-01 03:05:00
187,I hope you're doing well.,none,2023-01-01 03:06:00
188,That sounds like a good idea.,none,2023-01-01 03:07:00
189,Have a great day!,none,2023-01-01 03:08:00
190,Nice to meet you.,none,2023-01-01 03:09:00
191,Nice to meet you.,none,2023-01-01 03:10:00
192,Nice to meet you.,none,2023-01-01 03:11:00
193,Nice to meet you.,none,2023-01-01 03:12:00
194,I hope you're doing well.,none,2023-01-01 03:13:00
195,Nice to meet you.,none,2023-01-01 03:14:00
196,Have a great day!,none,2023-01-01 03:15:00
197,That sounds like a good idea.,none,2023-01-01 03:16:00
198,I hope you're doing well.,none,2023-01-01 03:17:00
199,Thank you for your help.,none,2023-01-01 03:18:00
200,Thank you for your help.,none,2023-01-01 03:19:00
201,That sounds like a good idea.,none,2023-01-01 03:20:00
202,Have a great day!,none,2023-01-01 03:21:00
203,I hope you're doing well.,none,2023-01-01 03:22:00
204,Nice to meet you.,none,2023-01-01 03:23:00
205,Nice to meet you.,none,2023-01-01 03:24:00
206,Thank you for your help.,none,2023-01-01 03:25:00
207,I hope you're doing well.,none,2023-01-01 03:26:00
208,I hope you're doing well.,none,2023-01-01 03:27:00
209,Nice to meet you.,none,2023-01-01 03:28:00
210,I hope you're doing well.,none,2023-01-01 03:29:00
211,Thank you for your help.,none,2023-01-01 03:30:00
212,Nice to meet you.,none,2023-01-01 03:31:00
213,Nice to meet you.,none,2023-01-01 03:32:00
214,Nice to meet you.,none,2023-01-01 03:33:00
215,I hope you're doing well.,none,2023-01-01 03:34:00
216,Have a great day!,none,2023-01-01 03:35:00
217,Nice to meet you.,none,2023-01-01 03:36:00
218,Have a great day!,none,2023-01-01 03:37:00
219,Nice to meet you.,none,2023-01-01 03:38:00
220,That sounds like a good idea.,none,2023-01-01 03:39:00
221,I hope you're doing well.,none,2023-01-01 03:40:00
222,Thank you for your help.,none,2023-01-01 03:41:00
223,Nice to meet you.,none,2023-01-01 03:42:00
224,Thank you for your help.,none,2023-01-01 03:43:00
225,Thank you for your help.,none,2023-01-01 03:44:00
226,Nice to meet you.,none,2023-01-01 03:45:00
227,Nice to meet you.,none,2023-01-01 03:46:00
228,I hope you're doing well.,none,2023-01-01 03:47:00
229,I hope you're doing well.,none,2023-01-01 03:48:00
230,Nice to meet you.,none,2023-01-01 03:49:00
231,That sounds like a good idea.,none,2023-01-01 03:50:00
232,Have a great day!,none,2023-01-01 03:51:00
233,Thank you for your help.,none,2023-01-01 03:52:00
234,Nice to meet you.,none,2023-01-01 03:53:00
235,That sounds like a good idea.,none,2023-01-01 03:54:00
236,Nice to meet you.,none,2023-01-01 03:55:00
237,Nice to meet you.,none,2023-01-01 03:56:00
238,Have a great day!,none,2023-01-01 03:57:00
239,That sounds like a good idea.,none,2023-01-01 03:58:00
240,Nice to meet you.,none,2023-01-01 03:59:00
241,That sounds like a good idea.,none,2023-01-01 04:00:00
242,Thank you for your help.,none,2023-01-01 04:01:00
243,Thank you for your help.,none,2023-01-01 04:02:00
244,Have a great day!,none,2023-01-01 04:03:00
245,That sounds like a good idea.,none,2023-01-01 04:04:00
246,Thank you for your help.,none,2023-01-01 04:05:00
247,Nice to meet you.,none,2023-01-01 04:06:00
248,Thank you for your help.,none,2023-01-01 04:07:00
249,Thank you for your help.,none,2023-01-01 04:08:00
250,I hope you're doing well.,none,2023-01-01 04:09:00
251,I hope you're doing well.,none,2023-01-01 04:10:00
252,Nice to meet you.,none,2023-01-01 04:11:00
253,That sounds like a good idea.,none,2023-01-01 04:12:00
254,I hope you're doing well.,none,2023-01-01 04:13:00
255,I hope you're doing well.,none,2023-01-01 04:14:00
256,That sounds like a good idea.,none,2023-01-01 04:15:00
257,I hope you're doing well.,none,2023-01-01 04:16:00
258,Nice to meet you.,none,2023-01-01 04:17:00
259,Have a great day!,none,2023-01-01 04:18:00
260,Have a great day!,none,2023-01-01 04:19:00
261,I hope you're doing well.,none,2023-01-01 04:20:00
262,I hope you're doing well.,none,2023-01-01 04:21:00
263,Thank you for your help.,none,2023-01-01 04:22:00
264,Have a great day!,none,2023-01-01 04:23:00
265,Have a great day!,none,2023-01-01 04:24:00
266,That sounds like a good idea.,none,2023-01-01 04:25:00
267,I hope you're doing well.,none,2023-01-01 04:26:00
268,Nice to meet you.,none,2023-01-01 04:27:00
269,I hope you're doing well.,none,2023-01-01 04:28:00
270,That sounds like a good idea.,none,2023-01-01 04:29:00
271,Thank you for your help.,none,2023-01-01 04:30:00
272,Nice to meet you.,none,2023-01-01 04:31:00
273,Nice to meet you.,none,2023-01-01 04:32:00
274,Thank you for your help.,none,2023-01-01 04:33:00
275,Nice to meet you.,none,2023-01-01 04:34:00
276,Thank you for your help.,none,2023-01-01 04:35:00
277,Thank you for your help.,none,2023-01-01 04:36:00
278,That sounds like a good idea.,none,2023-01-01 04:37:00
279,I hope you're doing well.,none,2023-01-01 04:38:00
